"","Var1","Freq"
"1","Aleksandar Mitrović",11
"2","Alexander Isak",5
"3","Alexis Mac Allister",1
"4","Benjamin White",1
"5","Bruno Borges Fernandes",6
"6","Bukayo Saka",17
"7","Callum Wilson",2
"8","Cody Gakpo",3
"9","Darwin Núñez Ribeiro",2
"10","Dejan Kulusevski",1
"11","Dominic Solanke",3
"12","Erling Haaland",383
"13","Gabriel Fernando de Jesus",18
"14","Gabriel Martinelli Silva",8
"15","Harry Kane",42
"16","Ivan Toney",16
"17","James Maddison",1
"18","João Cancelo",1
"19","Kai Havertz",1
"20","Kaoru Mitoma",9
"21","Kevin De Bruyne",10
"22","Kieran Trippier",3
"23","Marcus Rashford",38
"24","Martin Ødegaard",12
"25","Mason Mount",1
"26","Michail Antonio",1
"27","Miguel Almirón Rejala",2
"28","Mohamed Salah",72
"29","Ollie Watkins",3
"30","Pascal Groß",2
"31","Raheem Sterling",1
"32","Solly March",1
"33","Trent Alexander-Arnold",4
"34","Wilfried Zaha",2
